Line Name,Code,English,Español ,//comments,Code-switching,
script|job.bayou-dirty-detritus.argue.completeHistory:8,@34ECA1D0,But now we know that the {nameof Cyanobacteria} are also dying in large numbers.,Pero ahora sabemos que la {nameof Cyanobacteria} también se está muriendo en grandes cantidades.,,,
script|job.bayou-dirty-detritus.argue.showClaimFinal:0,@57D20612,{@bayouSci}    Did you find anything that eats {nameof Detritus}?,{@bayouSci}    ¿Encontraste algo que se alimente del {nameof Detritus}?,,,
script|job.bayou-dirty-detritus.argue.showClaimFinal:2,@55D202EC,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.bayou-dirty-detritus.argue.showClaimFinal:5,@54D20159,Let me get back to you.,Te contestaré después,,,
script|job.bayou-dirty-detritus.argue.unrelatedFinal:1,@2158735A,"{@bayouSci}     Not quite what I'm looking for, O.","{@bayouSci}     No es exactamente lo que busco, O.",,,
script|job.bayou-dirty-detritus.argue.giveUpArgueless:0,@91272D62,"{@bayouSci} Okay, then. But don't take too long. A lot of people are waiting for us to act.",{@bayouSci} Andale pues. Pero no tardes mucho. Hay mucha gente esperandonos.,,,
script|job.bayou-dirty-detritus.argue.giveUp:0,@B7E0F8E3,"{@bayouSci} Okay, then. But don't take too long. A lot of people are waiting for us to act.",{@bayouSci} Andale pues. Pero no tardes mucho. Hay mucha gente esperandonos.,,,
script|job.bayou-dirty-detritus.argue.completeFinal:1,@DF570647,"{@bayouSci}    Okay, interesting. The {nameof DecomposingBacteria} must be loving all this {nameof Detritus}.","{@bayouSci}    Vale, interesante. A las {nameof DecomposingBacteria} les debe estar encantando todo este {nameof Detritus}.",check,,
script|job.bayou-dirty-detritus.argue.completeFinal:2,@E05707DA,"Unfortunately we still haven't uncovered why the shrimp are dying, but I suspect we are closing in on an explanation.","Desafortunadamente, aún no hemos descubierto por qué se están muriendo los camarones, pero sospecho que estamos acercándonos a una explicación.",,,
script|job.bayou-displaced-reef.start:0,@23B61E24,"{@profBayou}    Thank you, Ollie,","{@profBayou}    Gracias, Ollie,",,,
script|job.bayou-displaced-reef.start:1,@24B61FB7,"We are beginning an assessment of whether the oil rig reef can stay without harming the ecosystem, or if it needs to be removed.","Empezamos a evaluar si el arrecife de la plataforma petrolífera puede permanecer sin dañar el ecosistema, o si hay que retirarlo.",,,
script|job.bayou-displaced-reef.start:2,@25B6214A,The first step is to estimate organism populations.,Lo primero es estimar las poblaciones de los organismos.,,,
script|job.bayou-displaced-reef.start:3,@26B622DD,That will allow us to compare the populations of native species to the invasive species that the rig has enabled to live here.,Eso nos permitirá comparar las poblaciones de especies autóctonas con las especies invasoras que la plataforma ha permitido que vivan aquí.,,,
script|job.bayou-displaced-reef.start:4,@1FB617D8,We'll also be able to use that data as a baseline for future models.,También podremos utilizar esos datos como referencia para futuros modelos.,,,
script|job.bayou-displaced-reef.start:5,@20B6196B,Can you take your sub out and get an estimated count of all the species here?,¿Puedes sacar tu submarino y hacer un recuento estimado de todas las especies que hay aquí?,,,
script|job.bayou-displaced-reef.start:6,@21B61AFE,"{@player}    Sure, Professor. Happy to help.","{@player} Claro, profe. Encantada de ayudarla.",,,
script|job.bayou-displaced-reef.diveSite:0,@39DCCA7D,{@player} This is so wild. A whole new ecosystem growing on an old oil rig!,{@player} Esto es tan chido. Un ecosistema completamente nuevo creciendo en una vieja plataforma petrolífera.,,,
script|job.bayou-displaced-reef.diveSite:1,@38DCC8EA,"{@player} That Silias guy doesn't seem happy about it, though.","{@player} Aunque ese tipo, Silias, no parece muy contento.",,,
script|job.bayou-displaced-reef.diveSite:2,@37DCC757,"{@guide} Processing ""Silias"".....","{@guide} Procesando ""Silias"".....",,,
script|job.bayou-displaced-reef.diveSite:3,@36DCC5C4,{@guide} Records found. Esteemed marine scientist. The youngest in a long line of shrimpers.,{@guide} Registros encontrados. Estimado científico marino. El más joven de una larga familia de camaroneros.,,,
script|job.bayou-displaced-reef.diveSite:4,@35DCC431,{@player} Shrimpers?,{@player}¿Camarones?,,,
script|job.bayou-displaced-reef.diveSite:5,@34DCC29E,{@guide} Humans who make a living fishing for shrimp.,{@guide} Humanos que se ganan la vida pescando gambas.,,,
script|job.bayou-displaced-reef.diveSite:6,@33DCC10B,{@player} Hmm. I haven't seen many shrimp around here.,{@player} Hmm. No he visto muchas gambas por aquí.,,,
script|job.bayou-displaced-reef.diveSite:7,@32DCBF78,{@player} No wonder the guy's grumpy.,{@player} No me sorprende que ese tipo sea un gruñón.,,,
script|job.bayou-displaced-reef.catchVisitSiteO:0,@76B37B06,{@guide}    Head to {h}site O{/h}. It's right outside!,{@guide}    Dirígete al {h}sitio O{/h}. ¡Está justo fuera!,,,
script|job.bayou-displaced-reef.catchGetScans:0,@BC13FB11,"{@player}  What should I do now, {nameof @guide}?","{@player}  ¿Qué debo hacer ahora, {nameof @guide}?",,,
script|job.bayou-displaced-reef.catchGetScans:1,@BB13F97E,{@guide}   You must scan and count all of the species at {h}Site O{/h}.,{@guide}   Debes escanear y contar todas las especies del {h}Sitio O{/h}.,,,
script|job.bayou-displaced-reef.catchGetCounts:0,@992C5851,"{@player}   Okay, {nameof @guide}. What next?","{@player}   De acuerdo, {nameof @guide}. ¿Y ahora qué?",,,
script|job.bayou-displaced-reef.catchGetCounts:1,@982C56BE,{@guide}    You need to count all of the species at {h}Site O{/h}.,{@guide}    Tienes que contar todas las especies del {h}Sitio O{/h}.,,,
script|job.bayou-displaced-reef.catchReportback:0,@377A6822,"{@player} So... what now, {nameof @guide}?","{@player} Entonces... ¿ahora qué, {nameof @guide}?",,,
script|job.bayou-displaced-reef.catchReportback:1,@387A69B5,"{@guide}  You've completed your task, O. It's time to report back to {nameof @profBayou}!","{@guide}  Ya has completado tu tarea, O. ¡Es hora de informar a la {nameof @profBayou}!",check,,
script|job.bayou-displaced-reef.argue.loadArgue1:6,@B40597DB,"{@profBayou}    Okay Ollie, let's analyze the data you uncovered for the species at {nameof O_OilRig}.","{@profBayou}    Bien Ollie, analicemos los datos que descubriste sobre la especie en el {nameof O_OilRig}.",check,,
script|job.bayou-displaced-reef.argue.loadArgue1:7,@B3059648,"{@profBayou}    First, what are the populations for the native species: {pluralnameof LoggerheadTurtle} and {pluralnameof RedGrouper}? (They should be in the {h}Sites{/h} tab of {h}AQOS{/h}.)","{@profBayou}    Primero, ¿cuáles son las poblaciones de la especies nativas: {pluralnameof LoggerheadTurtle} y {pluralnameof RedGrouper}? (Deberían estar en la ficha {h}Sitios{/h} del {h}AQOS{/h}.)",,,
script|job.bayou-displaced-reef.argue.showClaim1:1,@A8EDE6C9,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.bayou-displaced-reef.argue.showClaim1:4,@ABEDEB82,Let me get back to you.,Te contestaré después,,,
script|job.bayou-displaced-reef.argue.incorrect1:1,@B938E019,"{@profBayou} That's not the answer I'm looking for, Ms. Ramirez.","{@profBayou} Ésa no es la respuesta que busco, señorita Ramírez.",,,
script|job.bayou-displaced-reef.argue.incorrect1:2,@B638DB60,What are the populations for {pluralnameof LoggerheadTurtle} and {pluralnameof RedGrouper}?,¿Cuáles son las poblaciones de las {pluralnameof LoggerheadTurtle} y {pluralnameof RedGrouper}?,,,
script|job.bayou-displaced-reef.argue.loadArgue2:5,@1D75CD87,{@profBayou} How about the populations of organisms that rely on the rig structure? Those are {pluralnameof ElkhornCoral} and {pluralnameof SeaPearl}.,{@profBayou} ¿Y las poblaciones de los organismos que dependen de la estructura de la plataforma? Son el {pluralnameof ElkhornCoral} y las {pluralnameof SeaPearl}.,,,
script|job.bayou-displaced-reef.argue.showClaim2:1,@83C93F54,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.bayou-displaced-reef.argue.showClaim2:4,@80C93A9B,Let me get back to you.,Te contestaré después,,,
script|job.bayou-displaced-reef.argue.incorrect2:1,@941438A4,"{@profBayou} That's not the answer I'm looking for, Ms. Ramirez.","{@profBayou} No es la respuesta que busco, señorita Ramírez.",,,
script|job.bayou-displaced-reef.argue.incorrect2:2,@97143D5D,What are the populations for {pluralnameof ElkhornCoral} and {pluralnameof SeaPearl}?,¿Cuáles son las poblaciones del {pluralnameof ElkhornCoral} y las{pluralnameof SeaPearl}?,,,
script|job.bayou-displaced-reef.argue.loadArgue3:4,@0B16DCCB,{@profBayou} What other species are there? Those will be the invasive species.,{@profBayou} ¿Qué otras especies hay? Ésas deben ser las especies invasivas.,,,
script|job.bayou-displaced-reef.argue.showClaim3:1,@8DEAF08B,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.bayou-displaced-reef.argue.showClaim3:4,@90EAF544,Let me get back to you.,Te contestaré después,,,
script|job.bayou-displaced-reef.argue.incorrect3:0,@9E731CC8,"{@profBayou}    That's not the answer I'm looking for, Ms. Ramirez.","{@profBayou}    No es la respuesta que busco, señorita Ramírez.",,,
script|job.bayou-displaced-reef.argue.incorrect3:3,@A1732181,"{@profBayou}    You can leave the {pluralnameof Cyanobacteria} out of this, they aren't what we are concerned about at present.","{@profBayou}    Puedes dejar las {pluralnameof Cyanobacteria} fuera de esto, no nos preocupan en este momento.",,,
script|job.bayou-displaced-reef.argue.incorrect3:4,@A2732314,They are native species anyways.,"De todos modos, son especies nativas.",,,
script|job.bayou-displaced-reef.argue.incorrect3:6,@A473263A,{@profBayou}    What other species populations have you found that we haven't covered yet?,{@profBayou}    ¿Qué otras poblaciones de especies encontraste que aún no hemos tratado?,,,
script|job.bayou-displaced-reef.argue.giveUp:0,@399B56D8,"{@profBayou} Hmmm. Okay, then. Do hurry back.",{@profBayou} Hmmm. Bueno. Date prisa.,,,
script|job.bayou-displaced-reef.argue.analysis4Complete:1,@67CF8FD2,"{@profBayou}    Okay, so you estimate about 15 turtles and 15 grouper.","{@profBayou}    Vale, así que estimas unas 15 tortugas y 15 chernas.",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:2,@66CF8E3F,"That's 30 of the native species overall. And you estimate about 40 {nameof AngelFish}, which are invasive species.","Serían 30 especies nativas en total. Y calculas unos 40 {critter-name}Peces Ángeles{/critter-name}, que son especies invasivas.",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:3,@65CF8CAC,"I would call that about even, maybe a few more invasives. That worries me, because it seems they are set to crowd out the native species.","Diría que estamos más o menos al par, tal vez hayga algunas invasivas más. Eso me preocupa, porque parece que van a expulsar a las especies nativas.",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:4,@64CF8B19,We'll need to keep an eye on whether the {nameof AngelFish} populations increase or remain stable.,Tendremos que vigilar si las poblaciones de {nameof AngelFish} aumentan o permanecen estables.,,,
script|job.bayou-displaced-reef.argue.analysis4Complete:5,@63CF8986,"{@profBayou}    Hmmm. Nice work, Ollie.","{@profBAyou} Hmmm. Buen trabajo, Ollie.",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:6,@62CF87F3,{@profBayou}    I need to consider this and plan our next move.,{@profBayou} Tengo que considerar esto y planificar nuestra próxima acción.,,,
script|job.bayou-displaced-reef.argue.analysis4Complete:7,@61CF8660,"{@bayouSci} Aw, you gotta be kiddin' me, Harper.","{@bayouSci} Debes estar bromeando, Harper.",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:8,@70CF9DFD,The turtles were here first. Then these new critters moved in and started takin' over.,Las tortugas estaban aquí primero. Luego llegaron estos bichos nuevos y empezaron a tomar el control.,,,
script|job.bayou-displaced-reef.argue.analysis4Complete:9,@6FCF9C6A,"If you ask me, we need that reef outta here yesterday! Right, kid?","En mi opinión, necesitábamos ese arrecife fuera de aquí desde ayer. ¿Verdad, chica?",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:10,@4DBF80C6,{@player}   Oh... um...,{@player}   Oh... um...,,,
script|job.bayou-displaced-reef.argue.analysis4Complete:11,@4EBF8259,I'm not really used to making these kind of decisions...,No estoy acostumbrada a hacer estos tipos de decisiones...,,,
script|job.bayou-displaced-reef.argue.analysis4Complete:12,@4BBF7DA0,"{@profBayou}    It's too early to decide anything, Silias. We need more data.","{@profBayou} Es muy pronto para tomar una decisión, Silias. Necesitamos más datos.",,,
script|job.bayou-displaced-reef.argue.analysis4Complete:13,@4CBF7F33,"{@profBayou}    Ollie, let me know if you'd like to help out again. I'm sure I'll have more work for you soon.","{@profBayou}    Ollie, avísame si quieres ayudar otra vez. Seguramente tendré más trabajo para ti.",,,
script|job.hide-n-seek.start:0,@4ED49509,"{@profBayou}   Okay, Ollie. Let's jump right in.","{@profBayou}   De acuerdo, Ollie. Adelante.",,,
script|job.hide-n-seek.start:1,@4DD49376,I need a new model that will allow me to predict the future health of the turtles here at {h}Site O{/h}.,Necesito un modelo nuevo que me permita predecir la futura salud de las tortugas aquí en el {h}Sitio O{/h}.,,,
script|job.hide-n-seek.start:2,@4CD491E3,{@player}      Wait... what about the model I already built?,{@player}      Espera... ¿qué pasa con el modelo que ya construí?,,,
script|job.hide-n-seek.start:3,@4BD49050,"{@profBayou}   As per our last conversation, it wasn't accurate enough.","{@profBayou}   Según nuestra última conversación, no era lo suficientemente preciso.",,,
script|job.hide-n-seek.start:4,@52D49B55,You must've missed an organism.,Debiste de perderte un organismo.,,,
script|job.hide-n-seek.start:5,@51D499C2,"{@bayouSci}     Aw, don't look so down, Ollie. You wouldn't believe how many times I've missed stuff!","{@bayouSci}     No te deprimas, Ollie. No te imaginas cuántas veces se me han escapadolas cosas.",,,
script|job.hide-n-seek.start:6,@50D4982F,{@bayouSci}     I need you to search {h}Site O{/h} for any missing organisms.,{@bayouSci} Necesito que busques en el {h}Sitio O{/h} los organismos que faltan.,,,
script|job.hide-n-seek.start:7,@4FD4969C,Then build a higher-accuracy model and report back here.,Luego construye un modelo más preciso e infórmame aquí.,,,
script|job.hide-n-seek.start:8,@56D4A1A1,{@player}      I'm on it.,{@player} Sale vale.,,,
script|job.hide-n-seek.modelSuggestions:2,@E741293B,{@guide}    You're done with this portion! Head to the {h}Describe{/h} tab next.,"{@guide}    ¡Terminaste con esta parte! A continuación, dirígete a la ficha {h}Describir{/h}.",,,
script|job.hide-n-seek.modelSuggestions:4,@ED4132AD,"{@guide}    Once you import your facts and save the Visual model, we should be good to make our Describe model!","{@guide}    Una vez que importes tus hechos y guardes el modelo Visual, ¡estaremos listos para crear nuestro modelo Describir!",,,
script|job.hide-n-seek.modelSuggestions:8,@E1411FC9,{@guide}    Time to try out your model in the {h}Describe{/h} tab.,{@guide}    Es hora de comprobar tu modelo en la ficha {h}Describir{/h}.,,,
script|job.hide-n-seek.modelSuggestions:10,@9C96ADDA,{@guide}    Seems like we don't have enough information to complete our model accurately.,{@guide}    Parece que no tenemos suficiente información para completar nuestro modelo con precisión.,,,
script|job.hide-n-seek.modelSuggestions:11,@9D96AF6D,"Look for {h}question marks{/h} in the  Visual model interface, those point to where we may need more data.","Busca {h}signos de interrogación{/h} en la interfaz del modelo Visual, esos señalan dónde podemos necesitar más datos.",,,
script|job.hide-n-seek.suggestReproduce:0,@83D566EA,{@guide}    Did you get all the reproduction rates?,{@guide}    ¿Conseguiste todas las tasas de reproducción?,,,
script|job.hide-n-seek.suggestMeasure:0,@426A03C9,{@guide}    Using the {h}Measurement Tank{/h} to find the rates of unmeasured behaviors may help us here.,{@guide}    Utiliza el {h}Tanque de Medidas{/h} para encontrar las tasas de los comportamientos que no medimos.,,,
script|job.hide-n-seek.suggestTurtleEat:0,@D4195CAD,{@guide}    Maybe look into what {nameof LoggerheadTurtle} eats?,{@guide}    ¿Quizás investiga qué come la {nameof LoggerheadTurtle}?,,,
script|job.hide-n-seek.suggestGrouperEat:0,@7E4F3311,{@guide}    Maybe look into what {nameof RedGrouper} eats?,{@guide}    ¿Quizás investiga qué come la {nameof RedGrouper}?,,,
script|job.hide-n-seek.suggestAngelEat:0,@938104FE,{@guide}    Maybe look into what {nameof AngelFish} eats?,{@guide}    ¿Quizás investiga qué come el {nameof AngelFish}?,,,
script|job.hide-n-seek.catchJellyScan:0,@7DC3E6B3,"{@player} What do I need to do, {nameof @guide}?","{@player} ¿Qué tengo que hacer, {nameof @guide}?",,,
script|job.hide-n-seek.catchJellyScan:1,@7CC3E520,"{@guide}  Return to the ERC Industries Reef, and scan whatever organism you missed last time.",{@guide}  Vuelve al Arrecife de Industrias ERC y escanea el organismo que te perdiste la última vez.,,,
script|job.hide-n-seek.FoundTheMissingJelly:0,@1502C628,"{@player} Yes! We found it, {nameof @guide}!","{@player} ¡Sí! ¡Lo encontramos, {nameof @guide}!",,,
script|job.hide-n-seek.FoundTheMissingJelly:1,@1602C7BB,The missing species was the {pluralnameof MoonJelly}!!,¡¡La especie que faltaba era la {pluralnameof MoonJelly}!!,,,
script|job.hide-n-seek.FoundTheMissingJelly:2,@1702C94E,"Wow... they're cute, aren't they? And sort of eerie.","Vaya... son muy lindas, ¿verdad? Y un poco extrañas.",,,
script|job.hide-n-seek.FoundTheMissingJelly:3,@1802CAE1,"{@guide}  Actually, O, {pluralnameof MoonJelly} have no ears, eyes, mouth, heart, or brain.","{@guide}  En realidad, O, las {pluralnameof MoonJelly} no tienen orejas, ojos, boca, corazón ni cerebro.",,,
script|job.hide-n-seek.FoundTheMissingJelly:4,@1902CC74,"{@player} I... oh, never mind. Good point, V.","{@player} Yo... oh, no importa. Buena observación, V.",,,
script|job.hide-n-seek.catchJellyObservation:0,@465A5DC8,"{@player} What should I do now, {nameof @guide}?","{@player} ¿Qué debo hacer ahora, {nameof @guide}?",,,
script|job.hide-n-seek.catchJellyObservation:1,@475A5F5B,{@guide}   You need to {item}observe{/item} how the {pluralnameof MoonJelly} interact with their enviornment.,{@guide}   Tienes que {item}observar{/item} cómo interactúan las {pluralnameof MoonJelly} con su medio ambiente.,,,
script|job.hide-n-seek.catchJellyRates:0,@C6F07B99,"{@player} What now, {nameof @guide}?","{@player} ¿Y ahora qué, {nameof @guide}?",,,
script|job.hide-n-seek.catchJellyRates:1,@C5F07A06,{@guide}    Use the {item}Measurement Tank{/item} to find how quickly turtles eat the jellyfish.,{@guide}    Utiliza el {item}Tanque de Medidas{/item} para averiguar con qué rapidez comen las tortugas a las medusas.,,,
script|job.hide-n-seek.catchJellyPrediction:0,@68E0B6EF,"{@player} Can you help me out, {nameof @guide}?","{@player} ¿Puedes ayudarme, {nameof @guide}?",,,
script|job.hide-n-seek.catchJellyPrediction:1,@67E0B55C,"{@guide}  Certainly, O.","{@guide}  Por supuesto, O.",,,
script|job.hide-n-seek.catchJellyPrediction:2,@6AE0BA15,You must create a {item}Prediction Model{/item} using your data about {pluralnameof MoonJelly}.,Debes crear un {item}Modelo de Predicción{/item} utilizando tus datos sobre las {pluralnameof MoonJelly}.,,,
script|job.hide-n-seek.catchReportBack:0,@505FC8BB,{@player}   Okay. What's next?,{@player}   De acuerdo. ¿Qué sigue?,,,
script|job.hide-n-seek.catchReportBack:1,@4F5FC728,{@guide}    You must report back to {nameof profBayou} with your findings!,{@guide}   Informa a la {nameof @profBayou} de tus resultados.,,,
script|job.hide-n-seek.argue.intro:2,@8F0EC81D,"{@profBayou}  Okay, Ollie. Let's not waste any time.","{@profBayou}  De acuerdo, Ollie. No perdamos tiempo.",,,
script|job.hide-n-seek.argue.intro:3,@8E0EC68A,What will happen to turtle populations in the future?,¿Qué ocurrirá con las poblaciones de tortugas en el futuro?,,,
script|job.hide-n-seek.argue.intro:4,@890EBEAB,Turtle populations will remain stable.,Las poblaciones de tortugas permanecerán estables.,,,
script|job.hide-n-seek.argue.intro:5,@880EBD18,Turtle populations will increase.,Las poblaciones de tortugas aumentarán.,,,
script|job.hide-n-seek.argue.intro:6,@8B0EC1D1,Turtle populations will decrease.,Las poblaciones de tortugas disminuirán.,,,
script|job.hide-n-seek.argue.intro:10,@CF3D7D3C,{@profBayou}   You've already established that the turtle populations will remain stable.,{@profBayou}   Ya estableciste que las poblaciones de tortugas permanecerán estables.,,,
script|job.hide-n-seek.argue.stableTurtle:3,@CC7812BF,{@profBayou} Have you increased the accuracy of your model from last time?,{@profBayou} ¿Has mejorado la exactitud de tu modelo desde la última vez?,,,
script|job.hide-n-seek.argue.increaseTurtle:3,@693D8650,{@profBayou} Can I see your model?,{@profBayou} ¿Puedo ver tu modelo?,,,
script|job.hide-n-seek.argue.decreaseTurtle:3,@2C0EB9E4,{@profBayou} Can I see your model?,{@profBayou} ¿Puedo ver tu modelo?,,,
script|job.hide-n-seek.argue.showClaim:1,@58CB2D09,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.hide-n-seek.argue.showClaim:4,@5BCB31C2,Let me get back to you.,Te contestaré después,,,
script|job.hide-n-seek.argue.whatMissing:2,@E86CCBD9,"{@profBayou}   Ah, yes. Good work, Ollie.","{@profBayou}   Ah, sí. Buen trabajo, Ollie.",,,
script|job.hide-n-seek.argue.chooseFacts:0,@34D6AF89,{@profBayou}   How did you increase the accuracy of your model? What was missing?,{@profBayou} ¿Cómo mejoraste la precisión de tu modelo? ¿Qué faltaba?,,,
script|job.hide-n-seek.argue.chooseFacts:2,@32D6AC63,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.hide-n-seek.argue.chooseFacts:6,@36D6B2AF,Let me get back to you.,Te contestaré después,,,
script|job.hide-n-seek.argue.jellyPop:3,@5BC466E1,{@profBayou}\tI see. How is this fact related to the Turtles?,{@profBayou} Ya veo. ¿Qué relación tiene este hecho con las Tortugas?,,,
script|job.hide-n-seek.argue.turtleEat:3,@CB6BED84,{@profBayou}\tI see. What is the Jellyfish population here?,{@profBayou}\tYa veo. ¿Cuál es la populación de Medusas aquí?,,,
script|job.hide-n-seek.argue.chooseFactsDummy:1,@0291702C,Present facts from AQOS,Presentar los datos del AQOS,,,
script|job.hide-n-seek.argue.chooseFactsDummy:4,@FF916B73,Let me get back to you,Te contestaré después,,,
script|job.hide-n-seek.argue.unrelated:1,@A4106DD0,"{@profBayou} That's not relevant, Ms. Ramirez.","{@profBayou} Eso no importa, señorita Ramírez.",,,
script|job.hide-n-seek.argue.unrelated2:1,@CEFC2B08,{@profBayou} I'm afraid that doesn't answer my question.,{@profBayou} Lamento decir que eso no responde mi pregunta.,,,
script|job.hide-n-seek.argue.unrelated3:1,@5A82E9AF,"{@profBayou} That's not helpful, Ms. Ramirez.","{@profBayou} Eso es inútil, señorita Ramírez.",,,
script|job.hide-n-seek.argue.clarifyClaim:2,@DD64445F,"{@profBayou}   Hmmm... according to your model, the turtle populations will stay within a normal range.","{@profBayou} Hmmm... según tu modelo, las poblaciones de tortugas se mantendrán de un nivel normal.",,,
script|job.hide-n-seek.argue.clarifyClaim:3,@DC6442CC,"{@player}      So the reef probably isn't hurting the turtles, right, Professor?","{@player} Así que probablemente el arrecife no esté dañando a las tortugas, ¿verdad, Profe?",,,
script|job.hide-n-seek.argue.clarifyClaim:4,@DB644139,{@profBayou}   It appears so.,{@profBayou} Eso parece.,,,
script|job.hide-n-seek.argue.clarifyClaim:5,@DA643FA6,I see that you've increased your accuracy. What did you add to the model?,Veo que mejoraste tu cálculo. ¿Qué añadiste al modelo?,,,
script|job.hide-n-seek.argue.giveUp:0,@80928617,"{@profBayou} Very well, Ms. Ramirez. Let me know when you're ready.","{@profBayou} Muy bien, señorita Ramírez. Avísame cuando estés lista.",,,
script|job.hide-n-seek.argue.complete:1,@33C656AF,"{@profBayou}   Thank you, Ollie.","{@profBayou}   Gracias, Ollie.",,,
script|job.hide-n-seek.argue.complete:2,@34C65842,"Now that you've made a more accurate model, we'll be better equipped to make a responsible decision about that Rig.","Ahora que ya tienes un modelo más preciso, estamos mejor equipados para tomar una decisión responsable sobre esa plataforma petrolífera.",,,
script|job.hide-n-seek.argue.complete:3,@35C659D5,{@player}      That's great!,{@player}      ¡Genial!,,,
script|job.hide-n-seek.argue.complete:4,@2EC64ED0,"{@player}      So... what HAVE you decided, Professor?","{@player} Entonces... ¿qué HAS decidido, profe?",,,
script|job.hide-n-seek.argue.complete:5,@2FC65063,{@profBayou}   We'll discuss that next time.,{@profBayou}   Lo discutiremos la próxima vez.,,,
script|job.hide-n-seek.argue.complete:6,@30C651F6,I think we're almost done here... just one more job to go.,Creo que ya casi terminamos... sólo nos queda un trabajo.,,,
script|job.bayou-methanogen.start:0,@32D400AE,"{@profBayou}  Ollie, these {pluralnameof Methanogen} you discovered at Site N are incredible!","{@profBayou}  Ollie, ¡estas {pluralnameof Methanogen} que descubriste en el Sitio N son increíbles!",check,,
script|job.bayou-methanogen.start:1,@33D40241,"{@bayouSci}   Welp, that's an understatement if I ever heard one.",{@bayouSci}   Pues eso es un decir muy poco.,,,
script|job.bayou-methanogen.start:2,@30D3FD88,She's been gabbing on about them all day. Our dear professor is ob-sessed.,Lleva todo el día cotorreando sobre ellas. Nuestra querida profesora está obsesionada.,,,
script|job.bayou-methanogen.start:3,@31D3FF1B,"{@profBayou}  I prefer the word ""focused."" Or possibly ""engrossed.""","{@profBayou} Yo prefiero la palabra ""concentrada"". O posiblemente ""absorta"".",,,
script|job.bayou-methanogen.start:4,@36D406FA,"Ollie, can you help me figure out how they're able to survive in such a hostile environment?","Ollie, ¿puedes ayudarme a averiguar cómo pueden sobrevivir en un ambiente tan hostil?",,,
script|job.bayou-methanogen.start:5,@37D4088D,"{@player}     Yes! I'd love to, Professor.","{@player} ¡Sí! Me encantaría, Profe.",,,
script|job.bayou-methanogen.start:6,@34D403D4,"{@profBayou}  Excellent. I need you to determine their rates of consumption, reproduction, and water chemistry interaction.","{@profBayou}  Perfecto. Necesito que averigües sus niveles de consumo, reproducción e interacción química con el agua.",,,
script|job.bayou-methanogen.start:7,@35D40567,"I'd also like to know what stresses them, if anything.","También me gustaría saber qué les estresa, si es que les estresa algo.",,,
script|job.bayou-methanogen.start:8,@2AD3F416,"{@player}     I'm on it, Professor. I'll report back soon.","{@player} Enseguida, Profe. Te informaré pronto.",,,
script|job.bayou-methanogen.gotoExperiment:0,@F98068F2,"{@player} What should we do first, {nameof @guide}?","{@player} ¿Qué deberíamos hacer primero, {nameof @guide}?",,,
script|job.bayou-methanogen.gotoExperiment:1,@FA806A85,{@guide}  Head to the {m}Experiment Lab{/m} to get started!,{@guide}  Dirígete al {m}Laboratorio de Experimentos{/m} para empezar.,,,
script|job.bayou-methanogen.MethanogenChatWithVictor:0,@48C2988B,"{@player}  Ahh! This is so exciting, {nameof @guide}!","{@player}  ¡Ahh! ¡Esto es tan emocionante, {nameof @guide}!",,,
script|job.bayou-methanogen.MethanogenChatWithVictor:1,@47C296F8,My sister and I used to dream of learning about new species like this.,Mi hermana y yo soñábamos en descubrir nuevas especies como ésta.,,,
script|job.bayou-methanogen.MethanogenChatWithVictor:2,@4AC29BB1,{@guide}   Yes. And we'll get to collect so much fascinating data!!,{@guide}   Sí. ¡¡Y podremos obtener tantos datos fascinantes!!,,,
script|job.bayou-methanogen.helpExperiment:0,@D034C722,"{@player} So what's our next step, {nameof @guide}?","{@player} Entonces, ¿cuál es el siguiente paso, {nameof @guide}?",,,
script|job.bayou-methanogen.helpExperiment:1,@D134C8B5,{@guide}  You'll need to use all of our Tanks to obtain the facts listed in your {item}AQOS{/item}!,{@guide}  ¡Tendrás que utilizar todos nuestros Tanques para obtener los datos que aparecen en tu {item}AQOS{/item}!,,,
script|job.bayou-methanogen.helpReport:0,@3A138F07,"{@player} Okay, {nameof @guide}. Do we have everything?","{@player} De acuerdo, {nameof @guide}. ¿Lo tenemos todo?",,,
script|job.bayou-methanogen.helpReport:1,@39138D74,"{@guide}  Affirmative, O. It's time to report your findings to {nameof @profBayou}!","{@guide}  Afirmativo, O. ¡Es hora de informar de tus hallazgos a la {nameof @profBayou}!",,,
script|job.bayou-methanogen.argue.intro:0,@D9E9D41C,"{@profBayou}  Well then, let's dive in.","{@profBayou}  Entonces, empecemos.",,,
